"ID","Area","Phase","Due date","Task","Priority","Est hours","Status","Notes"
"OPS-P0","Ops","Phase 1","2026-08-12","Scrub affiliate-link automation, feed, and reward card — restore generic catalog","High","4","Done","Strategy pivot to sponsor-first. Removed rotation scripts, AI workflow, feed stream, affiliate UI."
"OPS-P1","Sponsors","Phase 1","2026-08-13","Finalize sponsor pitch (1-pager: audience, quest mechanic, flat fee $200-500/mo)","High","3","Not started","Local businesses first: smoothie bar, bookstore, gym."
"OPS-P2","Sponsors","Phase 1","2026-08-18","Sign sponsor #1 (local smoothie bar / bookstore / gym) for a fixed monthly fee","High","4","Not started","Do NOT code anything until the first sponsor has agreed (sponsor-first MVP)."
"PRD-P1","Product","Phase 1","2026-08-22","Build sponsored Quest v1 (hardcoded, blueprint §8.2) + sponsor display on challenge detail","High","6","Not started","One quest for sponsor #1. Reuse generic catalog challenge pattern."
"PRD-P2","Product","Phase 1","2026-08-26","Voucher delivery — Giftbit/Tremendous webhook for sponsor #1's reward","High","8","Not started","Verified completion triggers a real voucher code to the user. Free/cheap tiers."
"REV-P1","Revenue","Phase 1","2026-08-31","The Emerge Method guide — outline + write chapters 1-3","Medium","6","Not started","Willingness-to-pay test; funds while sponsors ramp."
"GTM-P1","GTM","Phase 2","2026-09-01","Content engine starts — hero piece #1 (recap/time-lapse template)","High","3.5","Not started","App visuals are the content factory."
"GTM-P2","GTM","Phase 2","2026-09-04","Community-first distribution — r/getdisciplined, r/DecidingToBeBetter, 1 FB group; 30min/day","High","2.5","Not started","10:1 value-to-mention rule."
"GTM-P3","GTM","Phase 2","2026-09-08","Quest v1 live — announce to sponsor #1's audience (IG story, storefront QR, WhatsApp)","High","2","Not started","Sponsor does the marketing to their customers."
"GTM-P4","GTM","Phase 2","2026-09-15","Build-in-public cadence (X + LinkedIn), 1 post/week","Medium","1","Not started",""
"REV-P2","Revenue","Phase 2","2026-09-15","The Emerge Method guide launch — Paystack NGN + Gumroad USD","High","4","Not started",""
"OPS-P3","Sponsors","Phase 2","2026-09-20","Sign sponsor #2 (bookstore for a reading quest)","Medium","4","Not started","$500+/mo/challenge is the revenue target."
"GTM-P5","GTM","Phase 2","2026-09-24","Product Hunt launch prep (gallery, demo video, copy)","High","6","Not started",""
"GTM-P6","GTM","Phase 2","2026-10-01","Product Hunt launch week","High","6","Not started",""
"GTM-P7","GTM","Phase 3","2026-10-13","90-day review — metrics report + next-quarter sponsor plan","High","3","Not started","Installs, retention, sponsor MRR, guide sales."
"REV-P3","Revenue","Phase 3","2026-10-20","Decide: quest marketplace (multi-sponsor) vs 1:1 coaching tier","Medium","2","Not started",""
"GTM-W1","GTM","Recurring","Weekly","Produce 1 hero piece","High","3.5","Not started","Rotate the 4 content templates."
"GTM-W2","GTM","Recurring","Weekly","Repurpose hero to TikTok/Reels/Shorts + stills to X/LinkedIn","High","1.5","Not started",""
"GTM-W3","GTM","Recurring","Weekly","Community engagement 30 min/day","High","2.5","Not started","2-3 communities, 10:1 rule."
"GTM-W4","GTM","Recurring","Weekly","1 build-in-public post (X + LinkedIn)","Medium","1","Not started",""
